mchDate,mchTime,mchType,oppName,locName,locState,trnName,-=winLoss,-runTerps',-runOpponents'
2002-02-09,16:00:00,Home,Evansville,Tuscaloosa,AL,,L,2,4
2002-02-15,12:00:00,Away,Penn St,Tallahassee,FL,Seminole Classic,W,5,1
2002-02-15,14:00:00,Away,Syracuse,Tallahassee,FL,Seminole Classic,L,1,3
2002-02-16,16:00:00,Away,Florida St,Tallahassee,FL,Seminole Classic,L,1,2
2002-02-17,12:00:00,Away,Georgia,Tallahassee,FL,Seminole Classic,L,2,4
2002-02-22,10:00:00,Away,Seton Hall,Tampa,FL,USF-Holiday Inn Tournament,W,7,2
2002-03-07,13:00:00,Away,Michigan St,Plant City,FL,Speedline Invitational,W,2,1
2002-03-07,15:00:00,Away,BYU,Plant City,FL,Speedline Invitational,W,10,8
2002-03-08,12:00:00,Away,Georgia St,Plant City,FL,Speedline Invitational,W,4,3
2002-03-09,12:35:00,Away,Houston,Plant City,FL,Speedline Invitational,W,3,0
2002-03-14,16:30:00,Away,Delaware,Newark,DE,,W,7,3
2002-03-15,13:00:00,Away,La Salle,Philadelphia,PA,,W,3,1
2002-03-15,15:00:00,Away,La Salle,Philadelphia,PA,,W,11,2
2002-03-22,15:00:00,Away,Michigan St,Marietta,GA,Buzz Classic,W,4,1
2002-03-22,18:00:00,Away,Georgia St,Marietta,GA,Buzz Classic,W,4,3
2002-03-23,9:00:00,Away,Elon,Marietta,GA,Buzz Classic,W,12,3
2002-03-23,17:00:00,Away,WeStrn Kentucky,Marietta,GA,Buzz Classic,W,7,1
2002-03-23,21:00:00,Away,Harvard,Marietta,GA,Buzz Classic,W,5,2
2002-03-24,13:00:00,Away,Georgia Tech,Marietta,GA,Buzz Classic,L,1,2
2002-03-26,14:00:00,Away,Georgia Tech,Atlanta,GA,,W,3,0
2002-03-26,16:00:00,Away,Georgia Tech,Atlanta,GA,,W,4,0
2002-03-29,14:00:00,Home,Brown,Fairfax,VA,,W,5,3
2002-03-29,12:35:00,Away,Brown,Fairfax,VA,,W,4,0
2002-03-30,13:00:00,Away,George Mason,Fairfax,VA,George Mason Spring Clash,W,2,1
2002-03-30,17:00:00,Away,Brown,Fairfax,VA,George Mason Spring Clash,W,8,0
2002-03-30,12:35:00,Away,Siena,Fairfax,VA,George Mason Spring Clash,W,6,0
2002-03-31,12:45:00,Away,Siena,Fairfax,VA,George Mason Spring Clash,W,7,3
2002-04-06,12:00:00,Away,Virginia,Chapel Hill,NC,UNC Tournament,L,5,7
2002-04-06,14:00:00,Home,Georgia Tech,Chapel Hill,NC,,L,1,5
2002-04-07,12:00:00,Away,North Carolina,Chapel Hill,NC,UNC Tournament,W,8,3
2002-04-07,12:35:00,Away,North Carolina,Chapel Hill,NC,UNC Tournament,W,7,3
2002-04-10,15:30:00,Home,Towson,College Park,MD,,W,7,0
2002-04-10,17:30:00,Home,Towson,College Park,MD,,W,3,2
2002-04-17,15:00:00,Away,George Mason,Fairfax,VA,,W,5,0
2002-04-17,17:00:00,Away,George Mason,Fairfax,VA,,W,4,0
2002-04-20,13:00:00,Home,Virginia,College Park,MD,,L,2,3
2002-04-24,14:30:00,Home,St Josephs Pa,College Park,MD,,W,2,1
2002-04-24,16:30:00,Home,St Josephs Pa,College Park,MD,,W,2,1
2002-04-27,14:00:00,Away,North Carolina,Chapel Hill,NC,,W,3,0
2002-04-27,16:00:00,Away,North Carolina,Chapel Hill,NC,,W,5,1
2002-04-30,15:30:00,Away,Towson,Baltimore,MD,,W,1,0
2002-04-30,17:30:00,Away,Towson,Baltimore,MD,,L,0,2
2002-05-10,17:00:00,Away,Georgia Tech,Tallahassee,FL,ACC Tournament,L,0,1
2002-05-11,11:00:00,Away,Virginia,Tallahassee,FL,ACC Tournament,L,1,4
2003-02-14,12:00:00,Away,Boston College,Athens,GA,Univ of Georgia Tournament,L,2,4
2003-02-14,14:00:00,Away,Drexel,Athens,GA,Univ of Georgia Tournament,W,2,1
2003-02-15,14:00:00,Home,Georgia,Athens,GA,Univ of Georgia Tournament,L,2,6
2003-02-15,18:00:00,Away,Boston College,Athens,GA,Univ of Georgia Tournament,W,3,1
2003-02-21,9:00:00,Home,Seton Hall,Tampa,FL,USF-Best Western Tournament,L,1,2
2003-02-21,11:00:00,Home,Indiana,Tampa,FL,USF-Best Western Tournament,W,2,1
2003-02-23,9:00:00,Home,Radford,Tampa,FL,USF-Best Western Tournament,W,2,0
2003-02-23,14:30:00,Home,South Florida,Tampa,FL,USF-Best Western Tournament,L,1,7
2003-03-06,10:00:00,Home,Florida Atlantic ,Plant City,FL,Speedline Invitational,W,5,3
2003-03-06,14:00:00,Home,UIC ,Plant City,FL,Speedline Invitational,L,2,6
2003-03-07,16:00:00,Home,Oklahoma St ,Plant City,FL,Speedline Invitational,L,1,5
2003-03-07,18:00:00,Home,Michigan St ,Plant City,FL,Speedline Invitational,L,0,9
2003-03-08,14:00:00,Home,Tenn Chattanooga ,Plant City,FL,Speedline Invitational,W,7,0
2003-03-22,10:00:00,Home,WeStrn Ky ,Marietta,GA,Buzz Classic,W,2,1
2003-03-22,18:00:00,Home,Georgia Tech ,Marietta,GA,Buzz Classic,L,0,1
2003-03-22,20:00:00,Home,Troy St ,Marietta,GA,Buzz Classic,W,8,5
2003-03-23,13:00:00,Home,Tennessee Tech ,Marietta,GA,Buzz Classic,L,1,2
2003-03-25,16:00:00,Away,Florida St,Tallahassee,FL,,L,2,6
2003-03-25,18:00:00,Away,Florida St,Tallahassee,FL,,L,2,3
2003-03-29,15:00:00,Home,Hofstra ,College Park,MD,Maryland Invitational,W,8,1
2003-04-02,17:00:00,Home,George Mason,College Park,MD,,W,11,1
2003-04-02,19:00:00,Home,George Mason,College Park,MD,,W,8,3
2003-04-06,12:00:00,Home,Georgia Tech,College Park,MD,,L,1,5
2003-04-06,14:00:00,Home,Georgia Tech,College Park,MD,,L,0,1
2003-04-13,13:00:00,Home,Coppin St,College Park,MD,,W,4,0
2003-04-13,15:00:00,Home,Coppin St,College Park,MD,,W,12,0
2003-04-16,17:00:00,Home,James Madison,College Park,MD,,W,4,2
2003-04-16,19:00:00,Home,James Madison,College Park,MD,,W,1,0
2003-04-19,12:00:00,Away,Virginia,Charlottesville,VA,,L,0,3
2003-04-19,14:00:00,Away,Virginia,Charlottesville,VA,,L,1,5
2003-04-23,17:00:00,Home,Morgan St,College Park,MD,,W,8,0
2003-04-23,19:00:00,Home,Morgan St,College Park,MD,,W,9,1
2003-04-26,15:00:00,Home,North Carolina,College Park,MD,,W,2,0
2003-04-26,17:00:00,Home,North Carolina,College Park,MD,,L,1,5
2003-04-29,17:00:00,Home,George Washington,College Park,MD,,W,6,0
2003-04-29,19:00:00,Home,George Washington,College Park,MD,,W,6,0
2003-04-30,17:00:00,Home,Towson,College Park,MD,,W,3,0
2003-04-30,19:00:00,Home,Towson,College Park,MD,,W,8,0
2003-05-01,17:00:00,Home,Maryland-EaStrn Shore,College Park,MD,,W,11,0
2003-05-01,19:00:00,Home,Maryland-EaStrn Shore,College Park,MD,,W,9,0
2003-05-06,17:00:00,Home,UMBC,College Park,MD,,W,8,0
2003-05-06,19:00:00,Home,UMBC,College Park,MD,,W,2,0
2003-05-09,15:00:00,Home,Virginia,Tallahassee,FL,ACC Tournament,L,0,4
2003-05-10,11:00:00,Away,North Carolina,Tallahassee,FL,ACC Tournament,W,9,8
2003-05-10,17:00:00,Away,Virginia,Tallahassee,FL,ACC Tournament,L,3,6
2004-02-20,10:00:00,Home,Tulsa,Tampa,FL,USF Best Western-All Suites Hotels Tournament,L,1,3
2004-02-20,14:30:00,Home,Hofstra ,Tampa,FL,USF Best Western-All Suites Hotels Tournament,L,1,3
2004-02-21,10:00:00,Home,Temple ,Tampa,FL,USF Best Western-All Suites Hotels Tournament,W,10,3
2004-02-21,17:30:00,Home,Rhode Island ,Tampa,FL,USF Best Western-All Suites Hotels Tournament,W,15,0
2004-02-22,9:00:00,Home,Temple ,Tampa,FL,USF Best Western-All Suites Hotels Tournament,W,14,4
2004-02-27,13:30:00,Home,Michigan St ,Miami,FL,Golden Panthers adidas Tournament,L,1,4
2004-02-27,18:30:00,Home,Florida International ,Miami,FL,Golden Panthers adidas Tournament,W,5,1
2004-02-28,11:00:00,Home,Stony Brook ,Miami,FL,Golden Panthers adidas Tournament,L,0,1
2004-02-28,18:30:00,Home,Florida International ,Miami,FL,Golden Panthers adidas Tournament,L,0,5
2004-02-01,10:30:00,Home,Stony Brook ,Miami,FL,Golden Panthers adidas Tournament,W,6,3
2004-03-05,10:00:00,Home,Ball St ,Athens,GA,Georgia Softball Classic,W,2,1
2004-03-05,14:00:00,Home,UNC-Wilmington ,Athens,GA,Georgia Softball Classic,W,5,4
2004-03-06,11:15:00,Home,Winthrop ,Athens,GA,Georgia Softball Classic,W,10,4
2004-03-06,15:15:00,Home,Georgia ,Athens,GA,Georgia Softball Classic,L,0,5
2004-03-07,14:00:00,Home,Georgia ,Athens,GA,Georgia Softball Classic,L,0,4
2004-03-12,14:00:00,Home,Georgia St ,Tallahassee,FL,FSU Invitational,W,4,1
2004-03-12,16:00:00,Home,Troy St ,Tallahassee,FL,FSU Invitational,L,3,8
2004-03-13,12:00:00,Away,Notre Dame ,Tallahassee,FL,FSU Invitational,L,2,6
2004-03-13,14:00:00,Home,Michigan ,Tallahassee,FL,FSU Invitational,L,0,6
2004-03-13,17:00:00,Home,Saint Louis ,Tallahassee,FL,FSU Invitational,W,8,0
2004-03-14,10:00:00,Home,North Carolina ,Tallahassee,FL,FSU Invitational,L,0,2
2004-03-17,14:00:00,Home,Rutgers,College Park,MD,,W,6,4
2004-03-17,16:00:00,Home,Rutgers,College Park,MD,,W,6,0
2004-03-20,11:00:00,Home,Boston College ,College Park,MD,Maryland Invitational,L,2,3
2004-03-20,13:00:00,Home,Maryland-EaStrn Shore ,College Park,MD,Maryland Invitational,W,9,0
2004-03-21,12:00:00,Away,Brown ,College Park,MD,Maryland Invitational,L,1,3
2004-03-27,13:00:00,Home,Pittsburgh ,College Park,MD,Terrapin Invitational,W,9,6
2004-03-27,15:00:00,Home,Columbia ,College Park,MD,Terrapin Invitational,W,5,4
2004-03-28,12:00:00,Home,Delaware St ,College Park,MD,Terrapin Invitational,W,4,3
2004-03-28,16:00:00,Home,Pittsburgh ,College Park,MD,Terrapin Invitational,L,1,2
2004-04-06,15:00:00,Away,George Mason,Fairfax,VA,,W,6,2
2004-04-06,17:00:00,Away,George Mason,Fairfax,VA,,W,4,0
2004-04-08,15:00:00,Home,St Joseph's,College Park,MD,,W,4,1
2004-04-08,17:00:00,Home,St Joseph's,College Park,MD,,W,2,0
2004-04-10,13:00:00,Away,North Carolina St,Raleigh,NC,,L,0,5
2004-04-10,15:00:00,Away,North Carolina St,Raleigh,NC,,W,1,0
2004-04-11,13:00:00,Away,North Carolina,Chapel Hill,NC,,L,0,1
2004-04-11,15:00:00,Away,North Carolina,Chapel Hill,NC,,L,3,5
2004-04-15,15:30:00,Home,St Francis Pa,College Park,MD,,W,9,0
2004-04-15,17:30:00,Home,St Francis Pa,College Park,MD,,W,10,2
2004-04-17,13:00:00,Away,James Madison,Harrisonburg,VA,,W,5,0
2004-04-17,15:00:00,Away,James Madison,Harrisonburg,VA,,W,3,0
2004-04-18,12:00:00,Home,Florida St,College Park,MD,,L,0,7
2004-04-18,14:00:00,Home,Florida St,College Park,MD,,L,1,2
2004-04-25,13:00:00,Home,Virginia,College Park,MD,,L,1,6
2004-04-25,15:00:00,Home,Virginia,College Park,MD,,L,3,11
2004-04-29,15:00:00,Away,Towson,Towson,MD,,W,3,1
2004-04-29,17:00:00,Home,Towson,Towson,MD,,W,3,1
2004-05-02,12:00:00,Away,Georgia Tech,Atlanta,GA,,L,2,10
2004-05-02,14:00:00,Away,Georgia Tech,Atlanta,GA,,L,0,1
2004-05-06,14:00:00,Away,Delaware,Newark,DE,,W,3,2
2004-05-06,16:00:00,Away,Delaware,Newark,DE,,W,3,0
2004-05-08,13:00:00,Home,Alabama,College Park,MD,,L,1,3
2004-05-08,15:00:00,Home,Alabama,College Park,MD,,L,0,3
2004-05-09,13:00:00,Home,Villanova,College Park,MD,,W,1,0
2004-05-09,15:00:00,Home,Villanova,College Park,MD,,W,2,1
2004-05-14,13:30:00,Away,Virginia ,Tallahassee,FL,ACC Tournament,W,5,3
2004-05-14,19:30:00,Away,North Carolina ,Tallahassee,FL,ACC Tournament,L,2,7
2004-05-15,12:30:00,Away,NC St ,Tallahassee,FL,ACC Tournament,W,6,0
2004-05-15,17:30:00,Away,Georgia Tech ,Tallahassee,FL,ACC Tournament,L,4,6
2005-02-18,12:00:00,Home,Missouri ,Tuscaloosa,AL,Crimson Classic,L,1,6
2005-02-18,14:30:00,Away,Alabama ,Tuscaloosa,AL,Crimson Classic,L,0,7
2005-02-19,12:00:00,Home,Penn St ,Tuscaloosa,AL,Crimson Classic,L,1,7
2005-02-19,17:00:00,Home,Missouri ,Tuscaloosa,AL,Crimson Classic,W,3,2
2005-02-20,14:00:00,Away,Alabama ,Tuscaloosa,AL,Crimson Classic,L,0,5
2005-03-04,11:00:00,Away,UNC Greensboro ,Athens,GA,Red and Black Challenge,W,5,3
2005-03-04,13:00:00,Away,Oakland ,Athens,GA,Red and Black Challenge,W,9,1
2005-03-05,9:00:00,Away,Radford ,Athens,GA,Red and Black Challenge,L,1,3
2005-03-05,13:00:00,Away,Georgia ,Athens,GA,Red and Black Challenge,W,5,4
2005-03-06,14:00:00,Away,Georgia ,Athens,GA,Red and Black Challenge,L,0,5
2005-03-11,13:00:00,Away,Georgia St ,Tallahassee,FL,Florida State Invitational,W,3,2
2005-03-11,17:00:00,Away,Southern Illinois ,Tallahassee,FL,Florida State Invitational,L,1,3
2005-03-12,13:00:00,Home,Florida A&M ,Tallahassee,FL,Florida State Invitational,W,2,1
2005-03-12,15:00:00,Away,Troy St ,Tallahassee,FL,Florida State Invitational,L,2,6
2005-03-13,11:00:00,Away,St Joseph's ,Tallahassee,FL,Florida State Invitational,W,3,0
2005-03-19,11:00:00,Home,Mount St. Mary's ,College Park,MD,Maryland Invitational,W,5,1
2005-03-19,13:00:00,Home,Binghamton ,College Park,MD,Maryland Invitational,W,5,3
2005-03-20,12:00:00,Home,Columbia ,College Park,MD,Maryland Invitational,L,2,3
2005-03-20,16:00:00,Home,Columbia ,College Park,MD,Maryland Invitational,W,5,1
2005-03-25,15:00:00,Home,Virginia Tech,Blacksburg,VA,,L,0,5
2005-03-31,14:00:00,Home,Maryland Eastern Shore ,College Park,MD,,W,9,0
2005-03-31,16:00:00,Home,Maryland Eastern Shore ,College Park,MD,,W,9,0
2005-04-06,17:00:00,Home,Delaware St ,College Park,MD,,W,10,1
2005-04-06,19:00:00,Home,Delaware St ,College Park,MD,,W,5,1
2005-04-09,12:00:00,Away,Virginia,Charlottesville,VA,,L,1,2
2005-04-09,14:00:00,Home,Virginia,Charlottesville,VA,,W,1,0
2005-04-10,12:00:00,Away,Virginia,Charlottesville,VA,,L,0,2
2005-04-16,14:00:00,Away,Florida St,Tallahassee,FL,,L,0,1
2005-04-16,16:00:00,Away,Florida St,Tallahassee,FL,,W,7,2
2005-04-17,13:00:00,Away,Florida St,Tallahassee,FL,,L,0,2
2005-04-23,13:00:00,Home,North Carolina,College Park,MD,,L,0,1
2005-04-24,12:00:00,Home,North Carolina,College Park,MD,,L,2,3
2005-04-24,13:00:00,Home,North Carolina,College Park,MD,,L,1,3
2005-04-27,18:00:00,Home,Towson ,College Park,MD,,W,7,3
2005-04-27,20:00:00,Home,Towson ,College Park,MD,,W,1,0
2005-04-29,17:00:00,Home,Georgia Tech,College Park,MD,,L,2,3
2005-04-29,19:00:00,Home,Georgia Tech,College Park,MD,,W,2,1
2005-05-04,14:00:00,Home,Delaware ,College Park,MD,,L,0,2
2005-05-04,16:00:00,Home,Delaware ,College Park,MD,,W,11,1
2005-05-07,13:00:00,Home,George Mason ,College Park,MD,,W,3,0
2005-05-07,15:00:00,Home,George Mason ,College Park,MD,,W,7,0
2005-05-12,17:00:00,Home,Virginia ,College Park,MD,ACC Tournament,L,4,5
2005-05-13,13:30:00,Home,Florida St ,College Park,MD,ACC Tournament,W,2,0
2005-05-13,19:30:00,Home,NC St ,College Park,MD,ACC Tournament,W,3,2
2005-05-14,15:30:00,Home,Virginia Tech ,College Park,MD,ACC Tournament,L,3,5
2006-02-17,14:00:00,Away,Louisville,Statesboro,GA,,L,1,2
2006-02-17,16:00:00,Away,Charleston Southern,Statesboro,GA,,W,3,0
2006-02-18,10:00:00,Away,Troy,Statesboro,GA,,W,1,0
2006-02-18,12:00:00,Away,Georgia Southern,Statesboro,GA,,W,5,2
2006-02-19,10:00:00,Away,Louisville,Statesboro,GA,,L,4,5
2006-02-23,21:00:00,Away,Texas Tech,Palm Springs,CA,,L,0,3
2006-02-24,15:30:00,Away,Cal Poly,Palm Springs,CA,,W,2,1
2006-02-24,18:30:00,Away,Stanford,Palm Springs,CA,,L,5,8
2006-02-25,12:30:00,Away,Arizona,Palm Springs,CA,,L,1,8
2006-02-25,16:00:00,Away,Cal St Fullerton,Palm Springs,CA,,W,6,2
2006-02-26,12:00:00,Away,UIC,Palm Springs,CA,,W,11,5
2006-03-03,11:00:00,Away,Western Michigan,Tallahassee,FL,,W,5,4
2006-03-03,13:30:00,Away,Michigan,Tallahassee,FL,,L,0,6
2006-03-04,13:30:00,Away,Florida St,Tallahassee,FL,,L,5,6
2006-03-04,18:30:00,Away,Western Michigan,Tallahassee,Fla,,L,3,4
